director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,the grudge,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,underwater,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank
Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,like a boss,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta
Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,three christs,Richard Gere Peter Dinklage Walton Goggins Jon Avnet
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,inherit the viper,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,the sonata,Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,the murder of nicole brown simpson,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands
Ali Zamani,Nicola Posener,Houston Rhines,Michael Teh,angels fallen,Nicola Posener Houston Rhines Michael Teh Ali Zamani
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,bad boys for life,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,dolittle,Robert Downey Jr. Antonio Banderas Michael Sheen Stephen Gaghan
Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,a fall from grace,Crystal R. Fox Phylicia Rashad Bresha Webb Tyler Perry
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,the gentlemen,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,the turning,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,the last full measure,Sebastian Stan Christopher Plummer William Hurt Todd Robinson
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,john henry,Terry Crews Ludacris Jamila Velazquez Will Forbes
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,the rhythm section,Blake Lively Jude Law Sterling K. Brown Reed Morano
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,gretel & hansel,Sophia Lillis Sammy Leakey Charles Babalola Oz Perkins
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,birds of prey,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan
"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Riley Keough,Jaeden Martell,Lia McHugh,the lodge,"Riley Keough Jaeden Martell Lia McHugh Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone"
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,timmy failure: mistakes were made,Winslow Fegley Ophelia Lovibond Craig Robinson Tom McCarthy
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,horse girl,Alison Brie Debby Ryan John Paul Reynolds Jeff Baena
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,to all the boys: p.s. i still love you,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,sonic the hedgehog,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,fantasy island,Michael Peña Maggie Q Lucy Hale Jeff Wadlow
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,the photograph,Issa Rae Lakeith Stanfield Chelsea Peretti Stella Meghie
"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,downhill,"Julia Louis-Dreyfus Will Ferrell Miranda Otto Nat Faxon, Jim Rash"
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,spy intervention,Drew Van Acker Poppy Delevingne Natasha Bassett Drew Mylrea
Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,the kindness of strangers,Andrea Riseborough Tahar Rahim Zoe Kazan Lone Scherfig
Chris Sanders,Harrison Ford,Omar Sy,Cara Gee,the call of the wild,Harrison Ford Omar Sy Cara Gee Chris Sanders
